year_month,year,month,carrier,carrier_name,airport_code,city,state,airport_full_name,airport_name_cleansed,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2014-12-01,2014,12,AA,American Airlines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,391.0,115.0,57.77,0.04,15.97,0.0,41.22,3.0,1.0,6152.0,3187.0,1.0,446.0,0.0,2518.0
2014-12-01,2014,12,AA,American Airlines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,4258.0,761.0,193.9,7.82,200.22,0.41,358.65,25.0,4.0,40467.0,10591.0,406.0,5868.0,18.0,23584.0
2014-12-01,2014,12,AA,American Airlines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,477.0,153.0,55.7,2.04,37.92,0.0,57.34,3.0,0.0,6659.0,2569.0,37.0,1288.0,0.0,2765.0
2014-12-01,2014,12,AA,American Airlines Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,350.0,39.0,18.64,0.12,8.67,0.0,11.57,0.0,0.0,1692.0,755.0,12.0,294.0,0.0,631.0
2014-12-01,2014,12,AA,American Airlines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,926.0,251.0,99.65,0.57,63.33,0.96,86.5,2.0,0.0,12685.0,5208.0,17.0,2267.0,83.0,5110.0
2014-12-01,2014,12,AA,American Airlines Inc.,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,1256.0,291.0,70.34,0.52,147.37,2.71,70.06,7.0,5.0,14611.0,3474.0,27.0,7126.0,142.0,3842.0
2014-12-01,2014,12,AA,American Airlines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,320.0,114.0,21.69,1.13,70.05,0.0,21.13,5.0,0.0,5705.0,1177.0,24.0,3371.0,0.0,1133.0
2014-12-01,2014,12,AS,Alaska Airlines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,437.0,182.0,16.52,1.99,142.08,0.0,21.42,2.0,13.0,15500.0,1396.0,329.0,11925.0,0.0,1850.0
2014-12-01,2014,12,AS,Alaska Airlines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,543.0,126.0,34.22,0.45,71.6,0.19,19.53,0.0,0.0,4514.0,1391.0,16.0,2139.0,6.0,962.0
2014-12-01,2014,12,AS,Alaska Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,108.0,16.0,8.47,0.0,6.58,0.33,0.62,0.0,0.0,591.0,391.0,0.0,168.0,6.0,26.0
